User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: RNA QUANTIFLUOR,Date: 20/10/2013,Time: 15:39:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D,E,E,E,E,E,E,F,F,F,F,F,F,G,G,G,G,G,G,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48
Raw Data (Em Spectrum),517,30882,68138,36492,2952,3438,2688,12966,23261,10606,1799,1697,1474,4132,6506,3662,1093,1218,1674,2024,2526,2592,776,3420,863,1207,1611,1591,665,601,613,949,1126,1180,589,613,538,795,762,599,556,502,2471,803,491,535,472,456,525
Raw Data (Em Spectrum),519,35761,79516,43113,3451,3959,3151,15181,27589,12488,1963,1874,1537,4777,7559,4272,1139,1318,1794,2266,2858,2819,790,3522,841,1249,1774,1668,647,579,605,983,1228,1233,549,597,506,763,768,562,532,488,2496,808,486,497,492,432,488
Raw Data (Em Spectrum),521,41862,93554,51544,4149,4724,3715,17962,32923,14993,2293,2139,1826,5679,9078,5053,1279,1488,1947,2635,3327,3119,850,3776,941,1470,2038,1879,710,627,627,1125,1375,1357,573,648,537,857,851,611,576,496,2607,876,502,532,508,481,497
Raw Data (Em Spectrum),523,48297,107590,60229,4877,5545,4325,21109,38610,17647,2653,2486,2080,6675,10638,6009,1455,1652,2218,3064,3953,3519,946,3966,1000,1683,2378,2071,767,687,690,1309,1583,1500,633,682,583,951,963,662,633,513,2695,965,508,567,479,462,530
Raw Data (Em Spectrum),525,54943,122259,69040,5715,6384,5055,24262,44677,20493,2996,2841,2319,7727,12283,6913,1649,1862,2398,3527,4515,3982,996,4155,1107,1866,2741,2312,839,752,722,1421,1776,1616,687,742,612,1022,1083,710,640,538,2738,1007,560,581,489,518,557
Raw Data (Em Spectrum),527,61867,136348,78255,6548,7348,5665,27613,50657,23186,3411,3171,2644,8805,13987,7946,1823,2060,2579,3988,5191,4349,1107,4286,1174,2108,3081,2500,884,797,783,1594,1969,1773,742,794,672,1102,1165,760,684,573,2789,1098,558,633,512,545,559
Raw Data (Em Spectrum),529,67233,147771,85958,7273,8106,6336,30472,55834,25690,3800,3525,2837,9740,15609,8781,1991,2233,2770,4423,5714,4739,1195,4418,1270,2276,3290,2760,927,832,820,1719,2165,1903,769,826,682,1175,1279,796,712,600,2763,1146,590,634,529,551,590
Raw Data (Em Spectrum),531,72532,158748,93314,8000,9077,6995,33159,60749,28219,4159,3873,3120,10662,17146,9655,2178,2379,2946,4868,6243,5115,1251,4519,1314,2544,3649,2908,1004,879,848,1896,2333,2023,776,861,719,1260,1344,851,752,614,2767,1220,615,676,538,562,613
